Blog	fit	songwriter	size	needed	nature	crowd	bottom	seriously	modest	dirty	learn	huge	paper	scott	research	singles	chorus	books	false	tape	problem	era	production	ended	tomorrow	caught	food	evening	obviously	similar	although	camera	meet	including	university	key	http	beats	met	movies	personal	father	fuck	themselves	label	august	zero	acts	chart	entire	hair	excellent	detroit	figure	jazz	cast	focus	store	solo	sonic	questions	nick	meaning	g	april	twitter	theme	score	type	current	date	data	definitions	padding	twin	acoustic	act	imagine	relationship	sex	rose	points	clearly	edition	drum	co	cm	ca	tstyle	cd	moments	kept	minor	december	hall	el	en	ep	recorded	genre	liked	gt	download	click	ben	bed	parker	anyway	vinyl	loud	near	www	language	bowie	audience	field	deluxe	starting	titled	search	throughout	create	understand	bill	excited	per	groove	national	center	buy	several	christmas	ok	melody	smith	fucking	brain	table	k	worked	previous	brought	son	support	awesome	hop	debut	johnny	continue	un	uk	decade	meant	player	interview	inspired	welcome	rhythm	happen	british	floor	rules	wolf	instrumental	history	cave	sounded	win	stories	whose	features	subject	san	mouse	human	character	text	latin	nearly	general	members	para	recording	fans	matt	onto	hearing	plus	copy	unfortunately	ideas	alt	v	expect	hotel	wanna	river	wall	whether	beauty	busy	result	asked	success	tune	slightly	films	beatles	complete	certain	van	elements	produced	included	indie	business	area	aren	building	february	college	singing	becomes	mentioned	coast	overall	orphan	career	began	effect	starts	bar	jones	main	voices	among	collection	mention	bear	alive	metal	ray	cambria	longer	quick	sessions	stream	review	archive	hip	various	became	women	pure	lead	june	golden	service	singer	dave	shadow	begin	choice	internet	wants	ascii	series	november	followed	land	process	length	jam	web	electronic	amount	musical	peel	non	vocals	america	verse	using	beyond	station	feels	culture	chris	popular	michael	ryan	tunes	widow	hits	parts	north	likely	recordings	fantastic	seven	somehow	round	visit	drummer	images	sitting	facebook	absolutely	epic	planet	access	despite	que	brother	october	saturday	news	level	featuring	musicians	folk	feat	bought	perhaps	difficult	straight	episode	possible	possibly	unique	team	spot	industry	image	content	section	pick	action	archives	information	w	session	synth	recent	link	led	lee	standing	doubt	sister	hansi	thoughts	dr	indeed	entirely	okay	mostly	ground	concert	media	site	fully	bass	towards	seeing	himself	classic	shit	digital	effort	question	margin	totally	drums	material	include	pay	spend	giving	enjoyed	pagination	lo	lt	lp	terms	latest	studio	photo	greatest	weird	mso	pre	joe	events	easily	september	added	recently	pt	due	pm	mountain	built	steve	particularly	january	guitarist	example	desire	brilliant	large	magic	system	listened	ghost	total	south	loved	brothers	certainly	presented	usually	truly	cannot	los	issue	wonderful	damn	noise	perfectly	jeff	immediately	peter	phone	important	f	apparently	mid	mix	add	jack	plenty	approach	games	quickly	gig	based	happened	gives	releases	ya	missed	underground	birthday	remix	july	piano	mike	present	boston	season	punk	bandcamp	via	soundtrack	major	vocal	familiar	lucky	eventually	guitars	title	heaven	event	albums	plays	control	quality	playlist	broadcast	definitely	lyrics	lake	theatre	normal	parent	particular	dj	dad	dan	soft	created	venue	changed	changes	driving	earlier	font	closer	simply
Our Podcast Could Be Your Life	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	54	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	74	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	40	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
If You Give a Girl a Camera...	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
symmetry/symmetry	1	0	0	2	1	3	0	3	0	0	2	0	0	5	0	1	1	0	0	0	2	0	0	0	2	1	0	2	2	0	0	1	2	0	0	1	7	1	1	1	1	4	0	1	0	0	8	0	0	0	1	0	0	3	0	0	1	0	2	0	0	0	1	2	1	0	0	0	3	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	4	1	0	0	0	0	1	0	0	10	0	0	0	6	3	0	1	1	4	0	0	0	0	3	0	0	0	7	0	0	1	0	0	0	0	2	1	1	2	0	9	0	0	0	1	1	0	7	5	1	0	2	1	1	2	2	0	1	1	4	1	0	3	0	0	1	0	0	1	1	0	1	1	1	2	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	0	0	1	0	9	2	0	0	1	1	0	1	1	0	1	1	0	0	1	0	1	0	0	0	5	1	3	0	1	1	0	0	0	0	2	1	0	2	0	1	2	2	1	0	0	4	0	1	0	0	3	0	0	10	4	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	3	0	0	0	5	0	0	0	0	0	2	1	2	2	0	0	1	1	0	0	6	0	0	1	1	2	0	1	1	0	1	1	0	2	1	0	0	0	4	5	0	0	0	1	0	0	2	0	0	0	0	1	1	0	5	0	0	0	0	0	0	0	0	0	7	4	1	0	3	0	0	0	1	1	1	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	2	0	2	0	0	0	1	0	4	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	2	1	2	0	0	1	0	2	7	7	1	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	1	0	6	3	0	0	1	3	0	1	0	1	2	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	6	1	0	2	1	1	1	0	2	2	0	0	0	1	3	0	0	1	0	1	3	1	0	0	0	1	0	1	2	0	0	1	6	0	1	0	1	0	0	1	0	2	0	1	1	2	0	1	0	0	3	1	0	2	0	0	0	0	1	0	0	0	2	0	2	0	1	0	1	0
Kid F	4	0	10	2	1	0	5	2	0	1	5	0	2	0	4	0	1	4	10	0	7	2	2	7	1	4	3	7	9	2	8	4	3	1	14	7	1	0	8	0	3	0	3	4	0	1	2	0	0	1	3	4	0	0	0	0	3	2	0	0	14	2	0	4	1	3	10	0	1	5	6	0	3	3	0	0	6	4	1	4	1	1	6	0	0	10	15	1	6	1	0	5	10	1	2	0	4	0	0	0	0	0	0	1	4	6	0	12	0	2	3	1	0	0	0	1	0	0	1	1	1	3	6	0	5	1	0	8	0	5	10	7	6	0	1	1	14	8	0	4	3	2	1	2	7	1	2	1	2	1	7	0	9	1	17	1	0	1	3	1	6	1	0	0	0	0	5	4	0	1	1	6	1	1	11	2	2	6	2	9	2	12	0	1	1	3	2	2	1	12	3	3	1	6	2	1	1	6	1	0	1	1	8	4	1	10	1	0	2	5	2	0	0	2	10	1	6	3	2	0	1	3	0	1	1	2	3	1	8	5	2	7	0	3	0	0	2	2	8	6	1	1	0	4	2	0	1	3	1	1	6	3	13	0	7	0	0	2	3	13	0	5	2	5	2	6	4	0	0	0	2	0	0	0	0	7	1	0	2	0	0	1	5	4	6	3	2	0	2	1	0	0	3	0	1	0	6	0	4	1	1	7	3	0	2	3	11	8	1	1	2	6	0	6	0	6	10	4	0	1	1	1	4	22	4	8	0	9	7	3	7	0	1	2	6	5	0	4	0	2	1	1	0	5	1	0	1	2	4	0	6	8	1	0	1	4	3	5	0	1	2	2	0	7	4	2	0	8	0	4	1	12	2	1	3	2	7	7	6	2	3	0	0	0	3	2	0	1	2	3	57	1	1	6	0	0	1	9	12	7	0	1	3	4	2	1	1	1	2	4	2	0	5	0	1	2	1	1	0	9	0	4	3	3	0	1	0	0	1	2	0	2	2	10	9	4	6	0	1	5	0	0	0	0	3	2	2	5	4	0	1	0	0	2	0	3	0	0	0	0	0	1	0	5	0	1	0	1	5	5	2	1	1	3	4	2	6	0	0	0	5	7	0	0	7	4	0	0	8	0	0	1	0	0	1	4	5	24	2	2
bittersweet	6	0	3	12	3	1	3	3	1	3	16	7	6	0	0	0	0	8	1	0	8	0	0	6	12	1	8	2	6	0	0	0	39	0	0	2	0	6	13	7	3	2	31	4	0	2	1	0	0	0	30	1	0	6	1	3	1	10	1	0	3	0	6	1	7	0	1	0	14	1	12	0	0	0	1	2	3	13	48	35	1	0	5	0	0	1	0	0	0	0	4	10	0	1	0	0	0	0	0	0	3	0	0	0	1	17	0	39	0	1	4	0	3	0	4	0	0	1	0	4	3	6	11	0	0	0	0	2	0	5	1	6	24	0	0	44	4	10	1	8	4	6	0	1	0	0	4	0	2	0	1	0	19	6	1	4	2	0	32	0	6	0	0	0	2	0	4	2	6	2	2	3	0	0	6	8	9	0	2	2	1	0	0	2	0	0	0	4	0	12	0	0	7	16	8	1	0	2	20	13	14	2	25	0	0	2	0	0	6	19	0	1	0	6	0	1	0	6	0	7	0	1	2	2	0	0	0	1	0	0	1	5	0	1	1	2	0	1	9	8	0	0	0	10	1	0	1	0	0	0	3	5	21	7	2	1	0	8	0	0	2	3	1	3	9	0	0	1	1	2	5	0	1	1	0	7	1	0	3	2	0	0	0	4	0	35	0	1	2	0	0	1	0	1	9	0	5	0	0	0	18	6	4	0	2	2	11	9	0	0	0	0	0	9	1	2	3	1	2	0	0	2	6	5	11	3	0	10	2	2	2	6	1	2	0	0	1	8	0	2	0	2	0	3	1	0	0	0	10	10	0	6	0	18	1	4	16	1	0	10	1	2	0	2	16	5	0	30	0	4	4	0	5	0	1	8	10	16	8	3	0	0	1	0	4	3	0	1	1	9	0	0	0	1	5	0	1	10	0	7	9	0	1	0	6	2	0	0	6	7	5	3	0	3	3	2	0	39	2	18	0	25	30	3	0	2	8	3	2	1	0	6	0	0	17	0	2	0	0	0	0	17	1	5	2	0	0	24	8	0	0	6	0	4	1	1	1	0	2	0	6	0	0	3	1	4	1	2	38	8	0	6	7	4	1	0	5	0	3	0	9	3	0	0	2	2	10	0	7	0	7	1	0	6	2	2	4	0	8	6
künstler treu	2	0	0	0	2	1	1	0	0	0	0	2	0	1	0	0	0	4	0	8	0	0	0	1	1	0	2	0	0	0	1	0	5	2	1	0	2	1	2	1	2	1	4	0	6	3	5	0	0	0	1	0	0	0	4	0	3	0	3	0	0	0	0	4	0	0	11	0	0	0	2	0	0	0	0	3	0	1	0	0	1	0	0	3	2	1	0	0	0	6	1	0	1	1	1	2	7	1	1	0	0	0	8	0	0	0	1	4	5	0	0	1	1	0	2	0	2	0	0	0	0	0	1	1	0	1	0	0	1	9	0	1	0	2	2	1	2	1	41	1	1	1	0	0	3	0	3	5	2	2	1	1	0	0	2	2	2	3	0	0	1	0	0	1	0	0	0	0	3	0	3	0	1	0	0	2	0	0	0	1	1	0	0	3	0	2	3	1	2	2	0	0	1	1	0	3	1	1	0	5	8	0	2	2	5	0	0	10	1	1	3	0	0	0	1	4	2	0	0	2	0	3	0	0	0	0	0	0	3	1	0	1	3	2	2	2	1	0	4	0	0	4	0	1	0	0	0	3	0	0	3	0	2	0	1	1	4	0	1	1	0	2	2	2	1	0	0	2	0	0	1	0	0	2	1	0	2	0	0	1	0	0	1	0	105	1	1	2	1	6	0	2	0	0	0	4	1	0	1	1	1	1	0	0	0	1	1	2	0	2	0	0	0	1	0	0	2	0	5	3	0	8	0	0	1	0	0	1	0	1	1	0	3	0	2	7	1	0	0	0	5	1	1	1	2	0	7	0	1	4	0	1	1	0	0	2	1	0	2	1	0	0	2	2	3	1	0	2	5	1	0	0	0	0	3	0	2	2	3	3	0	3	0	0	0	7	2	1	1	5	0	0	0	1	0	3	0	4	94	2	0	3	0	5	1	2	0	1	0	1	2	4	5	0	5	0	0	1	1	0	0	0	0	0	1	1	4	0	5	0	0	1	5	1	0	86	0	0	11	2	5	0	0	0	1	1	0	2	1	2	0	0	5	0	13	1	3	2	0	0	0	1	1	0	2	1	0	0	0	2	1	1	0	0	1	1	2	0	0	3	0	1	0	2	0	0	0	2	1	0	6	0	0	2	0	0	0	0	1	0
sweeping the kitchen	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	4	0	0	1	0	0	0	0	3	1	0	0	0	0	4	0	1	0	2	0	0	2	1	0	0	0	0	1	0	1	3	1	0	1	0	0	3	0	1	0	2	1	1	0	0	0	0	0	1	0	0	0	3	0	0	2	1	1	0	0	0	1	0	0	0	0	2	0	2	0	1	0	0	0	1	2	1	3	0	0	0	0	0	1	0	0	0	0	1	0	2	1	1	0	1	0	0	0	0	0	0	1	2	1	1	0	0	9	1	0	1	0	2	2	0	0	2	7	2	0	0	0	0	0	0	4	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	2	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	7	1	1	0	0	1	0	1	0	1	1	0	0	0	1	0	0	1	0	3	0	0	1	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	2	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	1	1	0	0	1	0	1	4	0	1	0	0	0	2	0	3	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	2	0	2	0	0	1	1	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	2	1	2	6	0	0	0	0	0	0	0	0	7	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	2	1	0	0	0	0	0	0	0	0
One Stunning Single Egg	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	1	0
Room 19's Blog 2016	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
The Kids Are Coming Up From Behind	9	10	64	5	4	5	27	6	0	7	6	13	5	11	0	20	10	0	84	8	5	7	30	2	7	6	0	0	4	4	14	1	4	1	1	11	1	38	4	2	14	7	20	34	24	6	0	4	3	20	1	4	3	1	17	5	9	2	7	3	6	1	11	5	9	5	67	0	1	5	10	0	21	21	0	3	11	9	8	9	3	14	16	0	15	2	105	0	42	0	23	13	68	5	1	12	21	11	15	50	6	0	2	2	0	5	0	12	3	9	15	1	22	13	11	17	0	12	5	4	30	24	8	0	2	0	6	18	1	9	2	4	4	14	19	12	14	55	5	7	15	1	3	5	4	56	45	1	10	0	11	50	4	3	5	4	4	11	4	22	15	2	7	3	13	0	17	6	4	8	2	12	1	3	18	6	2	42	12	3	0	84	9	4	2	7	7	9	0	1	7	21	2	13	0	3	4	6	29	14	4	15	3	21	21	21	1	3	15	7	1	16	15	3	16	1	0	12	4	13	8	12	42	6	4	5	21	32	10	9	9	7	1	2	11	1	17	8	12	9	9	1	42	7	7	0	4	7	0	59	1	32	6	18	12	7	9	1	23	4	4	10	13	13	6	42	5	3	5	3	9	10	11	0	14	9	14	0	4	17	5	5	9	10	2	30	32	0	16	1	0	2	21	6	21	1	7	1	7	14	4	12	0	2	2	5	3	11	14	4	6	23	0	4	7	1	2	9	1	5	9	0	1	7	14	18	0	13	5	11	1	5	2	6	7	4	8	2	0	4	1	1	14	6	7	5	0	7	5	0	42	8	2	5	39	1	4	11	0	4	0	13	38	16	6	50	20	22	2	4	10	84	15	20	5	3	1	12	9	4	21	2	0	12	10	3	3	1	32	13	378	2	0	5	3	9	5	3	127	1	0	2	15	0	12	7	0	14	5	25	6	1	1	10	1	10	5	12	1	9	4	0	22	3	0	1	31	3	16	15	0	4	1	5	32	2	2	9	18	6	2	13	4	6	12	3	8	10	11	4	2	6	9	0	4	7	18	18	10	1	4	19	1	34	3	14	36	14	5	7	3	43	1	4	61	11	7	21	2	0	3	24	1	0	30	25	4	10	1	6	3	16	0	4	8	2	9	169	10	10
Time Is Poetry	1	0	0	2	0	0	1	2	0	2	4	0	6	0	0	0	0	10	2	2	1	0	0	1	8	10	0	1	0	1	0	0	9	1	0	1	2	3	3	1	0	0	4	1	0	1	1	0	0	4	9	0	0	3	3	0	2	1	0	0	1	0	1	1	1	0	1	2	0	0	3	0	0	0	3	0	1	2	0	5	1	1	0	0	0	0	0	0	0	0	8	9	1	4	0	0	2	0	0	0	1	0	0	0	0	14	0	7	0	3	7	2	0	0	0	1	0	4	0	4	0	1	7	0	0	0	0	0	1	1	2	1	0	0	13	8	14	8	0	1	0	1	2	1	0	1	0	0	0	1	0	0	6	2	0	0	3	3	0	0	4	0	0	0	3	0	1	0	9	4	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	5	3	0	0	0	2	0	0	1	0	6	6	3	5	6	3	2	3	2	9	5	1	4	2	2	1	0	0	0	0	1	2	7	0	3	0	7	0	0	14	1	0	0	1	0	2	3	1	0	6	4	0	0	11	2	1	1	0	5	2	0	2	0	0	0	2	1	0	0	3	1	0	1	0	0	2	7	3	0	0	0	1	1	1	4	3	0	0	0	0	0	0	0	0	0	0	4	0	0	4	10	0	0	0	0	0	2	3	1	2	1	0	0	0	5	7	13	3	0	0	5	0	1	0	7	0	3	0	9	1	1	1	1	0	0	2	1	0	2	0	1	0	2	0	0	0	3	0	1	0	0	3	0	0	0	0	0	0	0	1	7	0	2	5	1	0	4	0	0	2	12	2	16	0	0	0	1	1	4	6	2	0	8	0	0	2	0	3	0	0	1	5	3	1	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	4	0	0	1	0	0	1	1	2	0	0	1	0	1	2	5	0	4	0	1	10	0	2	1	1	1	0	2	2	10	0	0	3	3	3	0	0	0	0	3	1	1	1	0	1	0	0	0	0	2	1	0	0	1	2	0	4	3	2	0	0	3	0	0	4	0	1	0	0	1	0	0	0	2	2	3	0	2	11	2	0	6	0	0	0	0	0	0	1	0	2	0	0	0	2	0	13	0	0	1	1	1	3	0	10	3
this time tomorrow	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
